time,x,y,vx,vy,omega,linear_velocity,distance_from_start,goal_status
85.28,-3.315626115508414,1.7839327756256567,-0.0008147205910729394,5.609493441070015e-06,1.550306370666651e-05,0.000814739902014689,10.27156442868032,SUCCEEDED
85.314,-3.31565376587001,1.7839326828226407,-0.0008161736983925803,5.566667000445315e-06,1.5196283285684771e-05,0.0008161926817420728,10.271592077612393,SUCCEEDED
85.347,-3.315680647338011,1.783932593076717,-0.0008173462858201826,5.711509188248928e-06,1.607228155012835e-05,0.0008173662412170293,10.27161895768393,SUCCEEDED
85.38,-3.315707571727379,1.783932502954194,-0.0008189004728037176,5.509274011346666e-06,1.4800701010506619e-05,0.0008189190048217738,10.271645880677895,SUCCEEDED
85.414,-3.3157353630336677,1.7839324074362701,-0.0008201487546626189,5.526674320967416e-06,1.4910668828076592e-05,0.000820167375542148,10.271673670578926,SUCCEEDED
85.447,-3.3157623779953123,1.783932317372871,-0.0008214861401283196,5.608145677266487e-06,1.534539443494844e-05,0.0008215052828319868,10.271700684135395,SUCCEEDED
85.48,-3.3157894377328363,1.7839322263310233,-0.0008229625419685753,5.459687188599981e-06,1.4425174591814976e-05,0.0008229806520615028,10.27172774247708,SUCCEEDED
85.514,-3.315817367238656,1.783932130762458,-0.0008243078144118262,5.6694322947012034e-06,1.5650713156339976e-05,0.0008243273108195226,10.271755670564714,SUCCEEDED
85.547,-3.31584451401588,1.7839320425053373,-0.0008253412976532987,5.863811377614469e-06,1.683294986430058e-05,0.0008253621277329746,10.271782815898344,SUCCEEDED
85.58,-3.3158717042643753,1.7839319524447466,-0.0008270586338629126,5.479304693845579e-06,1.4457413633240775e-05,0.0008270767839971784,10.27181000472432,SUCCEEDED
85.614,-3.3158997726963273,1.78393185530263,-0.0008284237643522469,5.644478836676043e-06,1.5413715144348077e-05,0.0008284429935034062,10.271838071746501,SUCCEEDED
85.648,-3.3159270581192897,1.7839317630210538,-0.0008298410753271639,5.506096657360268e-06,1.4556913150034907e-05,0.000829859341937261,10.271865355768785,SUCCEEDED
85.68,-3.3159543908367524,1.7839316693228673,-0.0008311804291788475,5.61255643588778e-06,1.5156197102195112e-05,0.0008311993783922598,10.271892687100822,SUCCEEDED
85.714,-3.3159825968854633,1.7839315738734833,-0.000832446610075785,5.662295312688631e-06,1.5458485486807612e-05,0.0008324658672971967,10.271920891702372,SUCCEEDED
85.747,-3.316010019039373,1.7839314808086437,-0.0008340553065137615,5.580588152795147e-06,1.4903606503134698e-05,0.0008340739759085496,10.271948312453118,SUCCEEDED
85.78,-3.3160374856136303,1.7839313886533537,-0.0008352387139841248,5.705624275083678e-06,1.5642191689417842e-05,0.0008352582016874921,10.271975777607038,SUCCEEDED
85.814,-3.3160658310894138,1.7839312929979354,-0.00083656668162609,5.59450289856452e-06,1.4988676510239571e-05,0.000836585387913015,10.272004121624795,SUCCEEDED
85.847,-3.3160933903302583,1.7839311989886653,-0.0008381466803388419,5.619895620883654e-06,1.5045833801352343e-05,0.0008381655212365935,10.272031679462227,SUCCEEDED
85.88,-3.316120990191967,1.783931107896463,-0.00083939720231355,5.5095122130116675e-06,1.439856077940968e-05,0.0008394152833828081,10.27205927787549,SUCCEEDED
85.914,-3.316149478811854,1.7839310100908874,-0.0008407872112846695,5.585823651006694e-06,1.4834154584893372e-05,0.0008408057659684022,10.27208776505346,SUCCEEDED
85.947,-3.3161771727202476,1.783930917116532,-0.0008420954621399854,5.608851382636298e-06,1.495967691961951e-05,0.0008421141410584365,10.272115457530596,SUCCEEDED
85.98,-3.3162049121799164,1.78393082337974,-0.0008435360731155806,5.536513664728009e-06,1.4476971758605863e-05,0.000843554242257612,10.272143195565231,SUCCEEDED
86.014,-3.316233537786596,1.7839307280371512,-0.0008448677207798622,5.7619507064631015e-06,1.5807059127059554e-05,0.0008448873686425327,10.272171819681834,SUCCEEDED
86.044,-3.316261369300318,1.7839306333409382,-0.0008464321791481835,5.695021625130732e-06,1.534097110583905e-05,0.0008464513377441454,10.272199649774928,SUCCEEDED
86.08,-3.316289246396384,1.783930538684363,-0.0008478273531886853,5.638360330068054e-06,1.4979765325257619e-05,0.0008478461015550779,10.272227525445311,SUCCEEDED
86.114,-3.3163180180430296,1.7839304399177756,-0.0008492563716970633,5.698016819433755e-06,1.530406954213549e-05,0.0008492754866730436,10.27225629563562,SUCCEEDED
86.147,-3.316345984971866,1.7839303473448251,-0.0008505257798080083,5.708292751953032e-06,1.5353740871899952e-05,0.0008505449351587267,10.272284261100605,SUCCEEDED
86.18,-3.316374002236746,1.7839302506373156,-0.000851972928851163,5.702558524173269e-06,1.5295211371577327e-05,0.0008519920132659404,10.272312276954807,SUCCEEDED
86.214,-3.3164029125442522,1.783930153853682,-0.0008534656740165564,5.667090352394112e-06,1.5024984889972573e-05,0.0008534844888090217,10.272341185764404,SUCCEEDED
86.247,-3.316431020015893,1.7839300589565066,-0.000854739325771247,5.7846229625372964e-06,1.5726165795866766e-05,0.0008547588998558041,10.272369291791007,SUCCEEDED
86.281,-3.3164591746746215,1.7839299624511045,-0.0008562969813906766,5.645777745420093e-06,1.4836020365552806e-05,0.0008563155931927991,10.272397445022657,SUCCEEDED
86.313,-3.316488229776157,1.783929864073859,-0.0008576409905433837,5.714637612205274e-06,1.523134815752773e-05,0.0008576600292326064,10.2724264986344,SUCCEEDED
86.347,-3.3165164749389384,1.7839297696044234,-0.0008589004315832228,5.7471601604145965e-06,1.540224540406932e-05,0.0008589196593533972,10.272454742332538,SUCCEEDED
86.38,-3.3165447641010815,1.7839296750304785,-0.0008605389941376343,5.498555287600665e-06,1.3873922636394606e-05,0.0008605565609195379,10.272483030027166,SUCCEEDED
86.414,-3.3165739643851726,1.783929574540278,-0.000861806961142449,5.784360523283608e-06,1.558227316300217e-05,0.0008618263729430922,10.272512228836852,SUCCEEDED
86.448,-3.31660234824186,1.783929479158923,-0.0008633807744537349,5.614210691952179e-06,1.449834501566073e-05,0.0008633990277143152,10.272540611228033,SUCCEEDED
86.481,-3.3166307808207174,1.7839293823331202,-0.0008646279650439427,5.728638149175281e-06,1.5184144497066895e-05,0.000864646942532658,10.272569042356887,SUCCEEDED
86.514,-3.3166601224849255,1.7839292826955297,-0.0008660514880079233,5.695795396218914e-06,1.497264254395979e-05,0.000866070217687881,10.272598382520746,SUCCEEDED
86.547,-3.316688645878285,1.783929187245752,-0.0008674535196918104,5.610510932444383e-06,1.4433081481980535e-05,0.0008674716633173866,10.27262690443579,SUCCEEDED
86.58,-3.3167172182260964,1.7839290895572486,-0.0008689842289827953,5.6919192152902846e-06,1.4859836155107699e-05,0.0008690028700557765,10.272655475331936,SUCCEEDED
86.614,-3.316746703116649,1.7839289902589748,-0.0008702733500472622,5.713697517052226e-06,1.4992230166427762e-05,0.0008702921062159537,10.272684958703232,SUCCEEDED
86.647,-3.3167753674474714,1.7839288935708588,-0.0008716684688962613,5.736659663838625e-06,1.511528111385457e-05,0.0008716873458597704,10.272713621559245,SUCCEEDED
86.68,-3.3168040778838317,1.7839287968417128,-0.0008732251868852956,5.75911547276076e-06,1.5187716834568794e-05,0.000873244178006294,10.272742330516822,SUCCEEDED
86.714,-3.3168337105493375,1.78392869439887,-0.000874605736112377,5.764052303538238e-06,1.5195920486177907e-05,0.0008746247297782236,10.272771961692708,SUCCEEDED
86.747,-3.3168625127366043,1.7839285990873195,-0.0008760826583539003,5.55150602198397e-06,1.3884078079446979e-05,0.0008761002473961237,10.272800762372201,SUCCEEDED
86.78,-3.316891367358533,1.783928499593575,-0.0008774893990116662,5.700941777724755e-06,1.474917087779644e-05,0.0008775079179785263,10.272829615539994,SUCCEEDED
86.814,-3.3169211414567736,1.7839283992521875,-0.0008789971650282913,5.521980625309316e-06,1.3644631131446824e-05,0.0008790145097766018,10.272859388105108,SUCCEEDED
86.847,-3.3169500890323595,1.7839283008925484,-0.0008803485117923058,5.724901008993709e-06,1.4847719867418092e-05,0.0008803671260937055,10.272888334201436,SUCCEEDED
86.88,-3.316979082113541,1.783928202938279,-0.0008817236534837158,5.686840405603879e-06,1.4598537298767308e-05,0.0008817419924595123,10.272917325793168,SUCCEEDED
